#segundos nanosegundos Rango theta Radio
502 600000000 2.513013 -0.000902 0.277146
502 600000000 6.286611 1.073084 0.507332
502 600000000 2.445586 1.569286 0.493539
502 623000000 3.153502 -1.249133 0.282863
502 623000000 6.335523 -0.321333 0.508374
502 623000000 2.502080 0.000777 0.267211
502 623000000 6.283562 1.072620 0.505003
502 623000000 2.454819 1.572171 0.504577
502 649000000 3.158537 -1.248620 0.286962
502 649000000 6.303975 -0.320933 0.478235
502 649000000 2.508464 0.000394 0.272440
502 649000000 6.285695 1.073141 0.506335
502 649000000 2.442979 1.567303 0.488267
502 674000000 3.171775 -1.251297 0.303474
502 674000000 6.290041 -0.320213 0.465084
502 674000000 2.502269 0.002396 0.264861
502 674000000 6.270416 1.072799 0.492472
502 674000000 2.451773 1.571382 0.500818
502 698000000 3.151214 -1.245972 0.278064
502 698000000 6.306900 -0.320299 0.480682
502 698000000 2.506342 0.000404 0.270510
502 698000000 6.272158 1.072699 0.494105
502 698000000 2.440911 1.567491 0.486984
502 724000000 3.152404 -1.247043 0.281571
502 724000000 6.394810 -0.323047 0.569643
502 724000000 2.508957 0.000811 0.272528
502 724000000 6.275093 1.072725 0.496669
502 724000000 2.452438 1.571012 0.500846
502 749000000 3.152581 -1.246420 0.280212
502 749000000 6.351459 -0.322318 0.527375
502 749000000 2.505792 0.001021 0.269418
502 749000000 6.292103 1.072826 0.512028
502 749000000 2.449752 1.570345 0.497688
502 773000000 5.936007 -1.494659 1.389243
502 773000000 3.159735 -1.248967 0.290304
502 773000000 6.278920 -0.320146 0.454837
502 773000000 2.515171 -0.002574 0.281654
502 773000000 6.281884 1.073071 0.502736
502 773000000 2.456840 1.572029 0.505181
502 799000000 3.160380 -1.248415 0.289253
502 799000000 6.319643 -0.321296 0.494725
502 799000000 2.511224 0.000212 0.273673
502 799000000 6.279317 1.072827 0.500870
502 799000000 2.449505 1.569615 0.495984
502 823000000 3.172724 -1.248040 0.300421
502 823000000 6.316495 -0.321003 0.491395
502 823000000 2.510343 -0.000927 0.275696
502 823000000 6.268911 1.072633 0.491582
502 823000000 2.445322 1.568784 0.492451
502 849000000 3.161289 -1.248476 0.290008
502 849000000 6.310867 -0.321366 0.486360
502 849000000 2.510905 -0.000482 0.274719
502 849000000 6.286028 1.072863 0.506355
502 849000000 2.448092 1.568762 0.494120
